[23:27:43] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:27:47] [ServerMain/INFO]: Loaded 7 recipes
[23:27:47] [ServerMain/INFO]: Loaded 1271 advancements
[23:27:48] [Server thread/INFO]: Starting minecraft server version 1.20.1
[23:27:48] [Server thread/INFO]: Loading properties
[23:27:48] [Server thread/INFO]: Default game type: SURVIVAL
[23:27:48] [Server thread/INFO]: Generating keypair
[23:27:48] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:27:48] [Server thread/INFO]: Using epoll channel type
[23:27:49] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[23:27:49] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[23:27:49] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[23:27:49] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[23:27:49] [Server thread/INFO]: Preparing level "world"
[23:28:01] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[23:28:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
